Sentence,Emotion,Translated
"Yeah, it's just so strange. I mean, she probably woke up today and thought, ""ok, I'll have some breakfast, and then I'll take a little walk, and then I'll have my massage."" Little did she know God was thinking, ""Ok, but that's it."" Oh, but the weirdest thing was, ok, I was cleansing her aura when she died, and when the spirit left her body, I don't think it went very far.",sadness,"Ouais, c'est tellement étrange.Je veux dire, elle s'est probablement réveillée aujourd'hui et a pensé: ""Ok, je prends un petit déjeuner, puis je vais faire une petite promenade, puis je vais faire mon massage.""Elle ne savait pas que Dieu pensait: ""OK, mais c'est tout.""Oh, mais la chose la plus étrange était, ok, je nettoyais son aura quand elle est morte, et quand l'esprit a quitté son corps, je ne pense pas que cela soit allé très loin."
What do you mean?,fear,Que veux-tu dire?
I think it went into me.,fear,Je pense que ça est entré en moi.
Hi.,neutral,Salut.
How's it going?,happiness,Comment ça va?
It's goin' great. Right on schedule. Got my little happy helpers.,happiness,Ça va bien.Dans les délais.J'ai mes petits aides heureuses.
"Fine, whatever.",anger,"Bien, peu importe."
What's the matter?,neutral,Quel est le problème?
"Nothing. Ok, everything. I think we're calling off the wedding.",sadness,"Rien.Ok, tout.Je pense que nous appelons le mariage."
What?,neutral,Quoi?
"You're still gonna pay me, right? Or something a little less selfish.",anger,"Tu vas toujours me payer, non?Ou quelque chose d'un peu moins égoïste."
"Carol, what's the matter? What happened?",neutral,"Carol, quel est le problème?Ce qui s'est passé?"
My parents called this afternoon to say they weren't coming.,sadness,Mes parents ont appelé cet après-midi pour dire qu'ils ne venaient pas.
Oh my god.,neutral,Oh mon Dieu.
"I mean, I knew they were having trouble with this whole thing, but they're my parents. They're supposed to give me away and everything.",sadness,"Je veux dire, je savais qu'ils avaient des problèmes avec tout cela, mais ce sont mes parents.Ils sont censés me donner et tout."
It's ok. I'm sorry.,neutral,C'est bon.Je suis désolé.
"And then Susan and I got in this big fight because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do.",fear,"Et puis Susan et moi avons eu ce grand combat parce que j'ai dit que nous devrions peut-être annuler le mariage, et elle a dit que nous ne le faisions pas pour eux, nous le faisions pour nous, et si je ne pouvais pas voir cela, alors peut-être que nous devrions annuler le mariage.Je ne sais pas quoi faire."
"I uh can't believe I'm gonna say this, but I think Susan's right.",happiness,"Je ne peux pas croire que je vais dire ça, mais je pense que Susan a raison."
You do?,anger,Tu fais?
"Look, do you love her? And you don't have to be too emphatic about this.",neutral,"Écoutez, tu l'aimes?Et vous n'avez pas besoin d'être trop catégorique à ce sujet."
Of course I do.,anger,Bien sûr que je le fais.
"Well then that's it. And if George and Adelaide can't accept that, then the hell with them. Look, if my parents didn't want me to marry you, no way that would have stopped me. Look, this is your wedding. Do it.",anger,"Eh bien, c'est tout.Et si George et Adélaïde ne peuvent pas accepter cela, alors l'enfer avec eux.Regardez, si mes parents ne voulaient pas que je t'épouille, aucun moyen de m'aurais arrêté.Écoutez, c'est votre mariage.Fais-le."
You're right. Of course you're right.,neutral,"Tu as raison.Bien sûr, vous avez raison."
So we're back on?,fear,Alors nous sommes de retour?
We're back on.,happiness,Nous sommes de retour.
"You heard the woman. Peel, chop, devil! I can't believe I lost 2 minutes.",happiness,"Vous avez entendu la femme.Peler, hacher, diable!Je ne peux pas croire que j'ai perdu 2 minutes."
"It just seems so futile, you know ? All these women, and nothing. I feel like Superman without my powers, you know? I have the cape, and yet I cannot fly.",happiness,"Cela semble tellement futile, tu sais?Toutes ces femmes et rien.Je me sens comme Superman sans mes pouvoirs, tu sais?J'ai la cape, et pourtant je ne peux pas voler."
"Well now you understand how I feel every single day, ok? The world is my lesbian wedding.",happiness,"Eh bien maintenant, vous comprenez comment je me sens chaque jour?Le monde est mon mariage lesbien."
"Butterscotch? No one? All right, you'll be sorry later.",anger,"Butterscotch?Personne?Très bien, vous serez désolé plus tard."
Thank you.,neutral,Merci.
Any time.,sadness,À tout moment.
Ross.,happiness,Ross.
"You know, nothing makes God happier than when two people, any two people, come together in love. Friends, family, we're gathered here today to join Carol and Susan in holy matrimony.",happiness,"Vous savez, rien ne rend Dieu plus heureux que lorsque deux personnes, deux personnes, se réunissent avec amour.Amis, famille, nous sommes réunis ici aujourd'hui pour rejoindre Carol et Susan dans le mariage sacré."
"Oh my god. Now I've seen everything! Whoa, she's gone. She's gone. She's gone! Go ahead, get married. Go, go.",happiness,"Oh mon Dieu.Maintenant j'ai tout vu!Whoa, elle est partie.Elle est partie.Elle est partie!Allez-y, mariez-vous.Allez, allez."
Would you look at them?,happiness,Les regarderiez-vous?
"Yeah, can't help but.",happiness,"Ouais, je ne peux pas m'empêcher."
How's that pig-in-the-blanket workin' out for you? I wrapped those bad boys.,happiness,Comment fonctionne ce cochon dans la côte pour vous?J'ai enveloppé ces mauvais garçons.
I miss Rose.,fear,Rose me manque.
"Oh, yeah?",sadness,Oh ouais?
"I know it's kind of weird, but I mean, she was a big part of my life there, you know, and now I just feel kind of alone.",sadness,"Je sais que c'est un peu bizarre, mais je veux dire, elle était une grande partie de ma vie là-bas, tu sais, et maintenant je me sens juste un peu seul."
"You know, I uh, I couldn't help but overhear what you just said, and I think it's time for you to forget about Rose, move on with your life...how 'bout we go get you a drink?",anger,"Tu sais, je ne pouvais pas m'empêcher de surprendre ce que tu viens de dire, et je pense qu'il est temps pour toi d'oublier Rose, de passer à autre chose ..., que diriez-nous de te prendre un verre?"
"Ok, that's so nice.",happiness,"Ok, c'est tellement sympa."
"I shouldn't even bother coming up with a line, right?",happiness,"Je ne devrais même pas prendre la peine de trouver une ligne, non?"
"Hey, Mom? Having fun?",happiness,"Hé, maman?S'amuser?"
"Oh, am I! I just danced with a wonderfully large woman. And three other girls made eyes at me over the buffet. Oh, I'm not saying it's something I wanna pursue, but it's nice to know I have options.",happiness,"Oh, suis-je!Je viens de dansé avec une femme merveilleusement grande.Et trois autres filles m'ont des yeux sur le buffet.Oh, je ne dis pas que c'est quelque chose que je veux poursuivre, mais c'est bien de savoir que j'ai des options."
"There's more alcohol, right?",happiness,"Il y a plus d'alcool, non?"
How you doin'?,neutral,Comment vas tu'?
Ok.,neutral,D'accord.
You did a good thing today.,neutral,Vous avez fait une bonne chose aujourd'hui.
Yeah.,neutral,Ouais.
You wanna dance?,neutral,Tu veux danser?
"No, that's fine.",neutral,"Non, c'est bien."
Come on. I'll let you lead.,neutral,Allez.Je te laisserai diriger.
Ok.,neutral,D'accord.
All right look. Penis schmenis. We're all people.,sadness,Très bien look.Pénis Schmenis.Nous sommes tout le monde.
"Ok, which one of us do you think is gonna be the first one to get married?",neutral,"Ok, lequel de nous pensez-vous que ce sera le premier à se marier?"
"Well, Mon, I was married.",happiness,"Eh bien, lundi, j'étais marié."
"Yeah, me, too, technically.",neutral,"Ouais, moi aussi, techniquement."
I had a wedding.,neutral,J'ai eu un mariage.
"All right, just trying to start an interesting discussion.",neutral,"Très bien, essayant juste de commencer une discussion intéressante."
I got one. Which one of us do you think will be the last to get married?,happiness,J'en ai un.Lequel de nous pensez-vous sera le dernier à se marier?
Isn't Ben in this?,anger,Ben n'est-il pas là?
"Oh, yeah!",happiness,Oh ouais!
That commercial always makes me so sad.,sadness,Cette publicité me rend toujours si triste.
"Yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out OK.",sadness,"Ouais, mais le gars ouvre sa bière et ces filles courent vers lui, donc tout semble aller bien."
I meant because the monkey in it reminds me of Marcel.,sadness,Je voulais dire parce que le singe me rappelle Marcel.
"I can see that, 'cause they both have those big brown eyes and, ya know, the little pouty chin.",sadness,"Je peux voir que, car ils ont tous les deux ces grands yeux bruns et, tu sais, le petit menton boudeux."
And the fact that they're both monkeys.,neutral,Et le fait qu'ils soient tous les deux des singes.
"Sometimes I wonder if I did the right thing, ya know, giving him away.",sadness,"Parfois, je me demande si j'ai fait la bonne chose, tu sais, le donnant."
"Oh, Ross, you had to, I mean, he was humping everything in sight. I mean, I have a Malibu Barbi that will no longer be wearing white to her wedding.",happiness,"Oh, Ross, tu devais, je veux dire, il bosse tout en vue.Je veux dire, j'ai un Barbi Malibu qui ne portera plus de blanc à son mariage."
"Remember when sometimes he'd borrow your hat, and, and when you got it back there'd be little monkey raisins in it.",sadness,"Rappelez-vous quand parfois il emprunterait votre chapeau, et quand vous l'avez récupéré, il y aurait de petits raisins secs de singe."
"Yeah, well sure, when he did it, it was funny. When I did it to my boss's hat. . . all of the sudden I have this big attitude problem.",happiness,"Ouais, bien sûr, quand il l'a fait, c'était drôle.Quand je l'ai fait au chapeau de mon patron...Tout à coup, j'ai ce problème d'attitude important."
"Hey, hey, check it out, guess what I got.",happiness,"Hé, hé, vérifiez-le, devinez ce que j'ai."
Rhythm?,happiness,Rythme?
"No, my first fan mail.",happiness,"Non, mon premier courrier de fans."
Alright!,happiness,Bien!
"'Dear Dr. Remore, know that I love you and would do anything to have you.' Gosh. 'Your not-so-secretive admirer, Erica Ford.' Ooh wait, 'PS enclosed please find 14 of my eyelashes.'",happiness,"«Cher Dr Remore, je sais que je t'aime et que je ferais tout pour t'avoir.Gosh.«Votre admirateur pas si secrète, Erica Ford.Ooh attendez, «PS enfermé s'il vous plaît trouver 14 de mes cils."
"Ya know, in crazy world, that means you're married.",happiness,"Tu sais, dans un monde fou, cela signifie que tu es marié."
"This wasn't addressed to Days of Our Lives, this is, this came to your apartment. There's no stamp on it, this woman was in our building.",fear,"Cela n'a pas été adressé aux jours de nos vies, c'est, cela est venu à votre appartement.Il n'y a pas de tampon dessus, cette femme était dans notre immeuble."
"Oh my god, I got my very own stalker.",happiness,"Oh mon Dieu, j'ai mon propre harceleur."
Hey guys.,happiness,Salut les gars.
Hey.,neutral,Hé.
"Ooh, where are you off to, Travelin' Jake?",anger,"Ooh, où vas-tu, voyageant Jake?"
"Well, there's this, uh, paleontology conference in L.A. so I figured I'd go and then drive down to the zoo and surprise Marcel.",happiness,"Eh bien, il y a cette conférence, euh, paléontologie à Los Angeles, alors j'ai pensé que j'irais et je conduirais ensuite au zoo et surprise Marcel."
"You know I think he will be surprised, 'till he realizes he's a monkey, and uh, you know, isn't capable of that emotion.",happiness,"Vous savez, je pense qu'il sera surpris: «Jusqu'à ce qu'il se rend compte qu'il est un singe, et euh, vous savez, n'est pas capable de cette émotion."
"Oh, Phoebe, that really cute guy is here again.",happiness,"Oh, Phoebe, ce mec vraiment mignon est encore là."
"Oh, oh, OK, so everyone, pretend like I'm telling you a story, OK. And, and it's really funny. So everyone just laugh, now.",happiness,"Oh, oh, ok, alors tout le monde, prétend comme si je vous raconais une histoire, ok.Et, et c'est vraiment drôle.Alors tout le monde rie, maintenant."
"I know, I know. Hello.",happiness,"Je sais, je sais.Bonjour."
Hi. I'm Rob Dohnen.,happiness,Salut.Je suis Rob Dohnen.
Hi Rob Dohnen.,happiness,Salut Rob Diehnen.
"I don't know anything about music, but I think you're really, really great.",happiness,"Je ne sais rien de la musique, mais je pense que vous êtes vraiment, vraiment génial."
"Oh, wow.",happiness,"Oh, wow."
"Anyway, I schedule performers for the childrens libraries around the city and I was just thinking, have you ever thought about playing your songs for kids?",happiness,"Quoi qu'il en soit, je planifie des artistes pour les bibliothèques pour enfants de la ville et je pensais juste, avez-vous déjà pensé à jouer vos chansons pour les enfants?"
"Oh, I would love to have kids. . . you're, you're the, you're, me play the songs that I will write for them.",happiness,"Oh, j'aimerais avoir des enfants...Vous êtes, vous êtes le, vous, vous, je joue les chansons que j'écrirai pour eux."
"Hey, whaddya wanna do for dinner?",happiness,"Hé, whaddya tu veux le dîner?"
Well we could just stay in and cook for ourselves.,happiness,"Eh bien, nous pourrions simplement rester et cuisiner pour nous-mêmes."
Hello.,neutral,Bonjour.
It's Erica.,neutral,C'est Erica.
"Ah, the stalker.",fear,"Ah, le harceleur."
"Never mind, it's open.",neutral,"Peu importe, c'est ouvert."
"Yes, hitting her with a frying pan's a good idea. We might wanna have a backup plan, though, just in case she isn't a cartoon.",happiness,"Oui, la frapper avec une poêle est une bonne idée.Nous voulons peut-être avoir un plan de sauvegarde, cependant, juste au cas où elle n'était pas un dessin animé."
Let's get out of here.,fear,Sortons d'ici.
The one time they're not home.,neutral,La seule fois où ils ne sont pas à la maison.
"OK, we'll just leave, and when we pass her on the stairs, she won't know it's me 'cause we've never met.",neutral,"Ok, nous partis, et quand nous la dépasserons dans les escaliers, elle ne saura pas que c'est moi parce que nous n'avons jamais rencontré."
That's how radio stars escape stalkers.,neutral,C'est ainsi que les stars de la radio échappent aux harceleurs.
She's comin'.,fear,Elle vient.
